Year,State,Healthcare_Spending_Per_Capita,Death_Rate_Per_100000,Alzheimers_Disease,Cancer,Diabetes,Heart_Disease,Influenza_and_Pneumonia,Cancer_Deaths_Per_100000,Diabetes_Deaths_Per_100000,Heart_Disease_Deaths_Per_100000,Influenza_Pneumonia_Deaths_Per_100000,Alzheimers_Disease_Deaths_Per_100000,Percent_Adults_Smoke,Percent_Adults_Physical_Activity,Percent_Adults_Obese,Median_Household_Income,Percent_Poverty_Rate
2019,AL,8741,1027.4,2659,10266,1224,13448,1018,160.8,19.8,219.6,16.6,44.6,0.202,0.685,0.361,56200,0.154
2019,AR,8853,1089.8,1507,6482,1144,8669,623,165.7,29.8,226.5,16.6,39.5,0.202,0.688,0.374,70670,0.165
2019,AZ,8145,827.6,3047,12503,2173,12587,955,131.1,23.4,134,10.3,32.3,0.149,0.759,0.314,54540,0.134
2019,CA,9628,682.9,16859,59512,9854,62394,5664,131.6,21.8,136.9,12.5,37,0.1,0.776,0.262,78100,0.118
2019,CO,8286,684,1909,7986,1046,7762,468,125.9,16.4,127.7,7.8,33.4,0.135,0.813,0.238,72500,0.094
2019,CT,11831,890.4,967,6496,761,7354,563,131.9,15.6,143.1,11,18.1,0.121,0.765,0.291,87290,0.102
2019,DE,12213,955.3,339,2074,267,2053,132,151.9,20.5,154.3,10.5,25.9,0.159,0.734,0.344,74190,0.109
2019,FL,9490,698.1,6539,45583,6174,47144,2705,139.1,19.3,140.1,8.2,18.3,0.148,0.735,0.27,58370,0.127
2019,GA,8243,963.8,4221,17756,2375,19543,1299,151.4,20.5,175.5,11.8,41.9,0.163,0.721,0.331,56630,0.134
2019,HI,9555,808.2,471,2500,311,2503,366,127.3,15.8,120.3,16.8,19.1,0.123,0.756,0.25,88010,0.098
2019,IA,9193,980.4,1344,6335,861,7505,585,150.9,20.2,172.9,13.2,29.2,0.164,0.735,0.339,66690,0.114
2019,ID,7723,816.4,650,2928,422,3061,231,138.1,20.2,150.7,11.4,33.2,0.153,0.762,0.295,66050,0.111
2019,IL,9496,807.5,3954,23902,2825,25690,2108,151.9,18.1,162,13.4,24.5,0.145,0.744,0.316,65990,0.114
2019,IN,9927,860.9,2561,13515,2045,14555,933,163.4,25,178.8,11.6,31.6,0.192,0.691,0.353,74400,0.122
2019,KS,8745,978.3,839,5619,884,6140,525,153.8,24.4,166,14,21.9,0.162,0.729,0.352,73150,0.115
2019,KY,9744,950.2,1684,9975,1611,10742,850,176.4,29.1,196.4,15.7,32.1,0.236,0.672,0.365,55660,0.161
2019,LA,9657,1096.5,2165,9485,1458,11302,656,168.1,26.5,207.8,12.1,41.4,0.219,0.681,0.359,51710,0.187
2019,MA,12729,840.3,1663,12582,1383,11761,1217,139.9,15.3,127.2,13.2,17.7,0.12,0.736,0.252,66550,0.094
2019,MD,10248,1120.7,1012,10743,1514,11770,827,144.4,20.5,159.3,11.4,13.8,0.127,0.766,0.323,95570,0.091
2019,ME,11488,988.2,544,3413,477,2940,301,164.2,23.6,142.4,14.7,25.9,0.176,0.699,0.317,87710,0.106
2019,MI,9532,850.6,4467,20923,2916,25547,1662,157.1,22.2,193.8,12.8,33.9,0.187,0.746,0.36,64120,0.131
2019,MN,10510,992.1,2552,10042,1404,8401,539,142.2,19.8,116.7,7.5,34.9,0.146,0.801,0.301,81430,0.09
2019,MO,9431,1107.6,2782,12873,1658,15018,1038,159.7,20.9,187,13.1,34.1,0.196,0.694,0.348,44790,0.126
2019,MS,8745,807,1662,6587,1159,7997,789,179.1,32.5,226.7,22.6,48.8,0.204,0.623,0.408,60600,0.196
2019,MT,9808,1016.7,326,2099,282,2290,153,140.9,20,157.1,10.5,22.6,0.166,0.803,0.283,60190,0.131
2019,NC,8619,803.8,4508,19951,3124,19617,1733,152,24.1,154.7,13.8,36.9,0.185,0.737,0.34,70910,0.135
2019,ND,10653,914.2,403,1316,183,1448,141,140.7,20,147.7,14.3,37.6,0.17,0.72,0.348,71850,0.11
